"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SYNPR",23.0320224644189,-25.8850857852083,2.38659042826872,-10.8460527950687,2.08224595329414e-27,4.52950962220073e-23
"PCDH8",146.607058187634,-30,2.97842738937732,-10.0724295334498,7.31484411862096e-24,1.84948403829644e-20
"SPRR1B",785.035200052381,-29.9970111384755,2.97929995089984,-10.0684763645283,7.61485612035739e-24,1.84948403829644e-20
"RGR",16.7907966281731,30,2.98083051713826,10.0643092009141,7.94430699811637e-24,1.84948403829644e-20
"LOC100506421",10.8595250269057,-30,2.98112698791003,-10.0633083131531,8.0255154300288e-24,1.84948403829644e-20
"CALML5",5.46058550073019,-30,2.98117363435374,-10.0631508525009,8.03836584989367e-24,1.84948403829644e-20
"SPRR3",256.171036300029,-30,2.98201137029203,-10.0603238132731,8.27257982844753e-24,1.84948403829644e-20
"KRTAP4.11",11.7909105737495,-29.9276223829616,2.97583627422603,-10.0568780084332,8.56721320717784e-24,1.84948403829644e-20
"SYCN",1.97911912001734,-30,2.98355061932563,-10.0551335732929,8.72030966142633e-24,1.84948403829644e-20
"PSG10P",3.77377438154358,-30,2.98551108807124,-10.0485307590605,9.32472620806136e-24,1.84948403829644e-20
"LOC389043",12.1408419844095,30,2.98559793861345,10.0482384489897,9.35242238829623e-24,1.84948403829644e-20
"SPRR4",3.4762539984688,-29.9643270300206,2.9882315269507,-10.0274449150857,1.15465869367404e-23,2.03116692350903e-20
"CSHL1",2.48807784697881,-29.9312484920724,2.98683129879168,-10.0210709939263,1.23161018695102e-23,2.03116692350903e-20
"XAGE2",2.21157902887215,-29.8999279167815,2.98546086600928,-10.0151799868505,1.30723748122679e-23,2.03116692350903e-20
"MIR205",2.88316769176721,-28.5873626509276,2.98809121306524,-9.56709839576892,1.09948050560122e-21,1.59446662922289e-18
"CYLC2",6.71143788123426,28.4106688773943,2.98085889234992,9.53103447811885,1.55723625328347e-21,2.11716001360471e-18
"OR10A4",10.1100692641226,-28.3892772559748,2.98330131378884,-9.51606099080884,1.79867934445176e-21,2.30156892822701e-18
"CABP2",2.3632201810161,-27.2672397186874,2.98282819261865,-9.14140471991088,6.16463005458008e-20,7.44995542096003e-17
"GAGE12G",1.21052912735585,-27.0329303900049,2.98823348774628,-9.04645855180249,1.47680242969645e-19,1.60624416265935e-16
"GAGE12B",1.21052912735585,-27.0329303900049,2.98823348774628,-9.04645855180249,1.47680242969645e-19,1.60624416265935e-16
"LCE4A",29.4704922951854,-26.0222595120071,2.98823057856582,-8.70825019282693,3.08601558305735e-18,3.19667128467841e-15
"DEFB112",14.1889011432109,-25.2248744797998,2.98823071913046,-8.44140792687519,3.13537848414304e-17,3.10017673479834e-14
"OR10A6",6.31510549182545,-24.0858101405553,2.98823104925008,-8.06022350467171,7.61550789564653e-16,7.20261492408691e-13
"OR14J1",7.65566489292326,-23.9275410618705,2.98490732972004,-8.01617551862645,1.09088590432864e-15,9.88751711535869e-13
"GPR32",4.47094516880093,23.8103327916468,2.98346826647442,7.98075617535681,1.45439512614243e-15,1.26549828715905e-12
"HMGA1P7",4.56710639978088,-23.7115694428195,2.98798232360376,-7.93564582210157,2.0940279577289e-15,1.75197654478757e-12
"LOC494558",3.39590914488324,-23.290408522415,2.98823155308932,-7.79404410556361,6.48978775397729e-15,5.22860566712103e-12
"PRG1",3.77841125830036,23.1668025479502,2.98615915686136,7.75806021414477,8.62382076862246e-15,6.35973875108796e-12
"NLRP8",3.15392824451474,23.1198585257401,2.98353725756094,7.74914356009776,9.25143803815953e-15,6.35973875108796e-12
